id;points;value;round
172;3;24;13
162;0;5;12
72;0;19;10
755;2;18;13
59;6;24;11
238;4;16;16
569;0;12;4
61;0;5;0
672;3;19;20
426;0;17;12
346;0;19;18
705;0;16;17
589;0;5;9
736;2;19;6
532;5;18;2
670;0;16;3
591;0;5;7
406;2;18;10
710;0;5;14
365;2;20;19
659;0;12;8
577;1;17;7
329;0;18;12
605;2;18;11
655;2;12;13
64;0;5;11
616;2;19;10
260;0;15;2
385;7;24;16
453;0;14;4
427;0;19;18
264;0;19;15
743;0;17;1
147;0;13;8
645;7;23;10
739;0;5;9
713;3;19;20
725;0;14;4
628;0;6;15
153;0;20;15
708;0;5;4
3;0;18;3
673;0;8;14
396;0;5;14
55;0;7;13
602;4;18;15
28;0;20;0
318;2;18;1
28;6;19;6
166;3;22;13
294;0;19;3
747;2;18;19
328;0;18;2
376;3;20;5
20;0;19;19
371;5;22;12
119;3;20;11
238;0;16;9
322;0;23;6
233;0;18;19
714;7;22;18
755;5;18;9
621;0;5;9
422;0;8;14
754;0;18;8
306;0;15;6
325;0;20;9
707;0;5;0
445;0;13;19
84;0;5;5
318;2;18;3
686;0;8;6
157;-1;27;18
468;2;18;3
107;0;21;19
22;0;5;13
506;0;6;10
402;3;20;19
308;0;16;9
107;-2;21;20
211;10;25;14
295;0;18;16
570;0;5;19
334;-3;19;6
708;0;5;8
168;3;21;7
463;4;15;5
182;0;25;14
527;4;18;11
418;2;16;12
683;3;14;13
430;1;19;18
383;3;22;18
775;1;15;19
196;0;19;0
536;0;23;13
689;8;19;7
458;0;18;8
169;0;22;17
749;4;18;9
601;0;17;16
75;2;24;17
655;0;12;0
19;5;19;2
3;3;18;14
164;0;15;16
694;0;18;7
180;0;15;5
68;2;18;9
102;0;19;9
224;0;19;3
572;0;5;12
27;0;17;15
128;2;19;16
155;2;20;12
689;4;19;10
430;0;18;5
569;0;12;5
734;1;18;9
488;0;18;15
587;0;8;17
45;4;17;15
273;1;19;15
629;0;17;12
755;6;18;15
201;7;24;3
356;0;19;10
146;0;28;0
69;0;27;3
734;3;18;13
581;0;8;6
532;2;18;5
22;0;5;17
428;0;5;19
585;0;5;12
687;2;19;10
492;0;14;17
308;0;16;17
505;5;18;17
670;0;16;9
59;7;25;1
196;7;19;6
472;0;18;4
729;0;15;1
691;3;18;3
406;5;17;5
628;0;6;17
256;0;19;5
209;0;23;2
718;-2;18;20
520;5;11;11
151;0;19;4
738;1;18;2
409;0;13;14
522;0;20;10
354;7;16;3
758;7;19;18
272;0;19;18
767;5;18;16
414;8;19;8
235;0;18;18
768;1;5;13
523;0;20;7
391;3;19;11
664;3;10;5
138;6;23;20
662;4;25;10
343;0;8;15
414;11;19;1
627;0;14;10
68;0;18;12
486;0;7;1
602;0;18;18
295;0;18;8
630;-2;17;15
308;0;16;1
361;0;15;7
378;0;19;12
489;2;18;19
441;0;12;5
271;0;19;15
736;0;19;3
285;3;17;4
542;3;5;7
693;11;28;20
214;0;28;14
712;0;5;8
272;0;20;13
587;0;8;20
240;6;19;1
259;0;17;3
414;3;19;3
652;0;5;4
149;0;33;0
536;3;25;6
197;2;18;18
133;1;26;13
625;6;18;12
723;4;18;19
305;0;17;18
465;0;5;19
756;0;14;20
144;0;18;1
86;3;23;8
382;0;5;19
632;0;5;6
681;0;18;14
181;2;18;11
652;0;5;11
329;0;18;0
362;8;21;5
27;0;17;7
624;2;17;11
627;0;14;12
601;0;17;18
583;0;5;2
459;0;14;13
501;2;16;19
648;0;7;0
395;2;17;17
346;3;19;4
601;0;17;1
55;0;7;14
723;1;19;8
577;0;17;2
735;3;22;13
147;0;13;6
223;0;15;1
463;0;15;0
264;0;19;16
187;0;19;14
659;0;12;18
664;0;10;19
259;3;17;1
749;3;17;19
446;7;16;2
69;4;27;8
164;2;15;20
162;0;5;6
535;4;29;7
257;4;19;20
257;0;20;13
576;0;29;0
7;0;18;8
275;4;5;8
645;8;23;8
5;0;6;15
387;3;21;9
256;0;19;13
100;0;12;1
706;1;15;13
715;3;15;7
329;0;18;2
486;2;7;12
612;0;20;8
370;4;23;1
427;3;19;8
358;0;18;16
404;0;5;11
577;4;17;16
259;7;17;11
263;0;20;13
149;4;33;1
682;0;18;10
680;4;18;5
179;0;18;11
47;1;16;15
494;0;15;0
95;0;16;1
610;8;16;4
742;3;18;19
610;1;17;14
144;2;18;17
697;2;18;20
708;0;5;16
401;0;17;3
717;1;16;10
593;0;5;18
721;0;25;8
535;2;28;10
404;0;5;2
558;1;24;17
463;0;15;16
498;7;20;19
733;5;18;16
593;0;5;0
236;0;22;3
617;4;16;9
19;0;19;16
575;0;5;5
193;7;25;14
711;0;5;14
182;0;25;10
234;7;19;6
506;0;6;1
322;11;23;10
431;0;17;0
114;0;5;2
611;2;18;12
